sep=;
"Time";"Teste.last"
"2020-05-27 19:38:36";4.88
"2020-05-27 19:38:37";4.55
"2020-05-27 19:38:38";5.08
"2020-05-27 19:38:38";3.66
"2020-05-27 19:38:39";4.73
"2020-05-27 19:38:40";3.56
"2020-05-27 19:38:40";4.48
"2020-05-27 19:38:41";3.84
"2020-05-27 19:38:42";5.44
"2020-05-27 19:38:43";3.79
"2020-05-27 19:38:43";3.5
"2020-05-27 19:38:44";4.73
"2020-05-27 19:38:45";4.97
"2020-05-27 19:38:45";3.79
"2020-05-27 19:38:46";4.31
"2020-05-27 19:38:47";5.23
"2020-05-27 19:38:47";4.52
"2020-05-27 19:38:48";4.86
"2020-05-27 19:38:49";4.11
"2020-05-27 19:38:50";5.19
"2020-05-27 19:38:50";5.41
"2020-05-27 19:38:51";3.61
"2020-05-27 19:38:52";3.61
"2020-05-27 19:38:52";5.11
"2020-05-27 19:38:53";3.93
"2020-05-27 19:38:54";4.65
"2020-05-27 19:38:54";4.48
"2020-05-27 19:38:55";3.59
"2020-05-27 19:38:56";4.15
"2020-05-27 19:38:57";4.67
"2020-05-27 19:38:57";4.74
"2020-05-27 19:38:58";3.6
"2020-05-27 19:38:59";5.08
"2020-05-27 19:38:59";3.77
"2020-05-27 19:39:00";3.99
"2020-05-27 19:39:01";3.82
"2020-05-27 19:39:01";5.12
"2020-05-27 19:39:02";4.03
"2020-05-27 19:39:03";4.36
"2020-05-27 19:39:04";3.74
"2020-05-27 19:39:04";5.25
"2020-05-27 19:39:05";5.06
"2020-05-27 19:39:06";4.58
"2020-05-27 19:39:06";4.38
"2020-05-27 19:39:07";3.77
"2020-05-27 19:39:08";4.54
"2020-05-27 19:39:08";4.69
"2020-05-27 19:39:09";5.21
"2020-05-27 19:39:10";5.16
"2020-05-27 19:39:11";5.29
"2020-05-27 19:39:11";3.63
"2020-05-27 19:39:12";4.21
"2020-05-27 19:39:13";3.75
"2020-05-27 19:39:13";4.68
"2020-05-27 19:39:14";4.32
"2020-05-27 19:39:15";4.98
"2020-05-27 19:39:15";5.09
"2020-05-27 19:39:16";5.03
"2020-05-27 19:39:17";3.76
"2020-05-27 19:39:18";3.57
"2020-05-27 19:39:18";4.5
"2020-05-27 19:39:19";4.41
"2020-05-27 19:39:20";3.87
"2020-05-27 19:39:20";4.27
"2020-05-27 19:39:21";5.05
"2020-05-27 19:39:22";5.19
"2020-05-27 19:39:22";5.08
"2020-05-27 19:39:23";4.01
"2020-05-27 19:39:24";5.37
"2020-05-27 19:39:25";3.88
"2020-05-27 19:39:25";3.75
"2020-05-27 19:39:26";5.4
"2020-05-27 19:39:27";3.79
"2020-05-27 19:39:27";3.94
"2020-05-27 19:39:28";3.57
"2020-05-27 19:39:29";5.42
"2020-05-27 19:39:29";4.59
"2020-05-27 19:39:30";4.86
"2020-05-27 19:39:31";3.81
"2020-05-27 19:39:32";4.31
"2020-05-27 19:39:32";5.21
"2020-05-27 19:39:33";5.3
"2020-05-27 19:39:34";5.17
"2020-05-27 19:39:34";4.19
"2020-05-27 19:39:35";3.67
"2020-05-27 19:39:36";4.99
"2020-05-27 19:39:37";4.42
"2020-05-27 19:39:37";5.24
"2020-05-27 19:39:38";4.21
"2020-05-27 19:39:39";3.64
"2020-05-27 19:39:39";4.33
"2020-05-27 19:39:40";4.15
"2020-05-27 19:39:41";3.6
"2020-05-27 19:39:41";5.05
"2020-05-27 19:39:42";5.44
"2020-05-27 19:39:43";4.74
"2020-05-27 19:39:44";3.55
"2020-05-27 19:39:44";3.51
"2020-05-27 19:39:45";4.88
"2020-05-27 19:39:46";4.59
"2020-05-27 19:39:46";5.48
"2020-05-27 19:39:47";4.13
"2020-05-27 19:39:48";4.93
"2020-05-27 19:39:48";4.9
"2020-05-27 19:39:49";5.29
"2020-05-27 19:39:50";5.19
"2020-05-27 19:39:51";5.4
"2020-05-27 19:39:51";3.92
"2020-05-27 19:39:52";3.65
"2020-05-27 19:39:53";4.12
"2020-05-27 19:39:53";3.82
"2020-05-27 19:39:54";3.92
"2020-05-27 19:39:55";5.25
"2020-05-27 19:39:55";5.23
"2020-05-27 19:39:56";3.92
"2020-05-27 19:39:57";3.78
"2020-05-27 19:39:58";4.03
"2020-05-27 19:39:58";5.23
"2020-05-27 19:39:59";4.08
"2020-05-27 19:40:00";4.54
"2020-05-27 19:40:00";4.48
"2020-05-27 19:40:01";3.94
"2020-05-27 19:40:02";4.51
"2020-05-27 19:40:03";5.21
"2020-05-27 19:40:03";4.92
"2020-05-27 19:40:04";4.17
"2020-05-27 19:40:05";4.79
"2020-05-27 19:40:05";4.29
"2020-05-27 19:40:06";4.52
"2020-05-27 19:40:07";4.63
"2020-05-27 19:40:07";3.93
"2020-05-27 19:40:08";4.45
"2020-05-27 19:40:09";3.57
"2020-05-27 19:40:10";3.79
"2020-05-27 19:40:10";5.24
"2020-05-27 19:40:11";4.75
"2020-05-27 19:40:12";4.96
"2020-05-27 19:40:12";4.45
"2020-05-27 19:40:13";4.79
"2020-05-27 19:40:14";4.01
"2020-05-27 19:40:14";4.94
"2020-05-27 19:40:15";4.81
"2020-05-27 19:40:16";4
"2020-05-27 19:40:17";3.78
"2020-05-27 19:40:17";5
"2020-05-27 19:40:18";4.07
"2020-05-27 19:40:19";3.59
"2020-05-27 19:40:19";3.94
"2020-05-27 19:40:20";3.65
"2020-05-27 19:40:21";3.98
"2020-05-27 19:40:21";3.58
"2020-05-27 19:40:22";3.54
"2020-05-27 19:40:23";4.66
"2020-05-27 19:40:24";4.85
"2020-05-27 19:40:24";4.4
"2020-05-27 19:40:25";4.5
"2020-05-27 19:40:26";3.91
"2020-05-27 19:40:26";4.38
"2020-05-27 19:40:27";3.56
"2020-05-27 19:40:28";3.85
"2020-05-27 19:40:28";4.88
"2020-05-27 19:40:29";5.47
"2020-05-27 19:40:30";5.39
"2020-05-27 19:40:31";3.67
"2020-05-27 19:40:31";4.85
"2020-05-27 19:40:32";4.28
"2020-05-27 19:40:33";4.44
"2020-05-27 19:40:33";4.41
"2020-05-27 19:40:34";4.49
"2020-05-27 19:40:35";5.23
"2020-05-27 19:40:35";5.05
"2020-05-27 19:40:36";4.38
"2020-05-27 19:40:37";4.11
"2020-05-27 19:40:38";3.53
"2020-05-27 19:40:38";4.8
"2020-05-27 19:40:39";4.75
"2020-05-27 19:40:40";3.83
"2020-05-27 19:40:40";4.78
"2020-05-27 19:40:41";5.04
"2020-05-27 19:40:42";5.13
"2020-05-27 19:40:43";4.09
"2020-05-27 19:40:43";3.53
"2020-05-27 19:40:44";5.16
"2020-05-27 19:40:45";4.88
"2020-05-27 19:40:45";3.87
"2020-05-27 19:40:46";4.84
"2020-05-27 19:40:47";4.37
"2020-05-27 19:40:47";5.24
"2020-05-27 19:40:48";5.28
"2020-05-27 19:40:49";5.18
"2020-05-27 19:40:50";5.07
"2020-05-27 19:40:50";4.17
"2020-05-27 19:40:51";3.71
"2020-05-27 19:40:52";3.9
"2020-05-27 19:40:52";4.83
"2020-05-27 19:40:53";4.55
"2020-05-27 19:40:54";5.36
"2020-05-27 19:40:54";4.8
"2020-05-27 19:40:55";4.48
"2020-05-27 19:40:56";4.54
"2020-05-27 19:40:57";3.7
"2020-05-27 19:40:57";5.03
"2020-05-27 19:40:58";3.82
"2020-05-27 19:40:59";4.73
"2020-05-27 19:40:59";4.99
"2020-05-27 19:41:00";4.27
"2020-05-27 19:41:01";4.95
"2020-05-27 19:41:01";4.77
"2020-05-27 19:41:02";3.61
"2020-05-27 19:41:03";4.42
"2020-05-27 19:41:04";3.79
"2020-05-27 19:41:04";5.33
"2020-05-27 19:41:05";4.82
"2020-05-27 19:41:06";5.16
"2020-05-27 19:41:06";5.27
"2020-05-27 19:41:07";4.93
"2020-05-27 19:41:08";4.54
"2020-05-27 19:41:08";5.44
"2020-05-27 19:41:09";4.69
"2020-05-27 19:41:10";5.25
"2020-05-27 19:41:11";4.54
"2020-05-27 19:41:11";4.72
"2020-05-27 19:41:12";3.69
"2020-05-27 19:41:13";4.38
"2020-05-27 19:41:13";4.37
"2020-05-27 19:41:14";3.83
"2020-05-27 19:41:15";5.2
"2020-05-27 19:41:15";3.64
"2020-05-27 19:41:16";5.01
"2020-05-27 19:41:17";4.4
"2020-05-27 19:41:18";3.51
"2020-05-27 19:41:18";4.79
"2020-05-27 19:41:19";3.52
"2020-05-27 19:41:20";4.32
"2020-05-27 19:41:20";5.19
"2020-05-27 19:41:21";3.77
"2020-05-27 19:41:22";5.27
"2020-05-27 19:41:23";3.83
"2020-05-27 19:41:23";3.96
"2020-05-27 19:41:24";4.78
"2020-05-27 19:41:25";3.83
"2020-05-27 19:41:25";4.31
"2020-05-27 19:41:26";5.18
"2020-05-27 19:41:27";5.15
"2020-05-27 19:41:27";3.63
"2020-05-27 19:41:28";3.98
"2020-05-27 19:41:29";3.94
"2020-05-27 19:41:30";4.13
"2020-05-27 19:41:30";3.87
"2020-05-27 19:41:31";4.1
"2020-05-27 19:41:32";5.32
"2020-05-27 19:41:32";3.72
"2020-05-27 19:41:33";4.19
"2020-05-27 19:41:34";4.87
"2020-05-27 19:41:34";5.46
"2020-05-27 19:41:35";5.49
"2020-05-27 19:41:36";4.49
"2020-05-27 19:41:37";3.57
"2020-05-27 19:41:37";4.61
"2020-05-27 19:41:38";4.38
"2020-05-27 19:41:39";4.53
"2020-05-27 19:41:39";4.95
"2020-05-27 19:41:40";4.22
"2020-05-27 19:41:41";4.37
"2020-05-27 19:41:41";4.93
"2020-05-27 19:41:42";3.6
"2020-05-27 19:41:43";4.96
"2020-05-27 19:41:44";5.15
"2020-05-27 19:41:44";3.89
"2020-05-27 19:41:45";4.69
"2020-05-27 19:41:46";4.29
"2020-05-27 19:41:46";5.29
"2020-05-27 19:41:47";3.67
"2020-05-27 19:41:48";5.37
"2020-05-27 19:41:49";4.31
"2020-05-27 19:41:49";5.42
"2020-05-27 19:41:50";4.85
"2020-05-27 19:41:51";5.29
"2020-05-27 19:41:51";4.7
"2020-05-27 19:41:52";3.83
"2020-05-27 19:41:53";3.73
"2020-05-27 19:41:53";3.89
"2020-05-27 19:41:54";3.61
"2020-05-27 19:41:55";3.98
"2020-05-27 19:41:56";4.93
"2020-05-27 19:41:56";3.59
"2020-05-27 19:41:57";5.11
"2020-05-27 19:41:58";5.02
"2020-05-27 19:41:58";4.7
"2020-05-27 19:41:59";3.8
"2020-05-27 19:42:00";3.75
"2020-05-27 19:42:00";4.26
"2020-05-27 19:42:01";4.57
"2020-05-27 19:42:02";3.65
"2020-05-27 19:42:03";3.89
"2020-05-27 19:42:03";5.23
"2020-05-27 19:42:04";4.78
"2020-05-27 19:42:05";3.57
"2020-05-27 19:42:05";4.98
"2020-05-27 19:42:06";5.05
"2020-05-27 19:42:07";3.9
"2020-05-27 19:42:07";4.61
"2020-05-27 19:42:08";4.23
"2020-05-27 19:42:09";4.15
"2020-05-27 19:42:10";5.05
"2020-05-27 19:42:10";4.11
"2020-05-27 19:42:11";5.05
"2020-05-27 19:42:12";4.38
"2020-05-27 19:42:12";5.15
"2020-05-27 19:42:13";5.1
"2020-05-27 19:42:14";3.72
"2020-05-27 19:42:14";3.52
"2020-05-27 19:42:15";4.22
"2020-05-27 19:42:16";4.26
"2020-05-27 19:42:17";5.49
"2020-05-27 19:42:17";4
"2020-05-27 19:42:18";3.75
"2020-05-27 19:42:19";5.33
"2020-05-27 19:42:19";4.26
"2020-05-27 19:42:20";4.97
"2020-05-27 19:42:21";4.84
"2020-05-27 19:42:21";3.85
"2020-05-27 19:42:22";3.68
"2020-05-27 19:42:23";3.93
"2020-05-27 19:42:24";3.97
"2020-05-27 19:42:24";4.91
"2020-05-27 19:42:25";4.29
"2020-05-27 19:42:26";4.37
"2020-05-27 19:42:26";5.38
"2020-05-27 19:42:27";5.45
"2020-05-27 19:42:28";3.6
"2020-05-27 19:42:29";4.18
"2020-05-27 19:42:29";4.11
"2020-05-27 19:42:30";3.77
"2020-05-27 19:42:31";4.11
"2020-05-27 19:42:31";5.4
"2020-05-27 19:42:32";5.31
"2020-05-27 19:42:33";3.69
"2020-05-27 19:42:33";3.59
"2020-05-27 19:42:34";4.31
"2020-05-27 19:42:35";4.65
"2020-05-27 19:42:36";4.77
"2020-05-27 19:42:36";3.58
"2020-05-27 19:42:37";4.68
"2020-05-27 19:42:38";4.8
"2020-05-27 19:42:38";3.98
"2020-05-27 19:42:39";3.83
"2020-05-27 19:42:40";4.21
"2020-05-27 19:42:40";4.49
"2020-05-27 19:42:41";5.35
"2020-05-27 19:42:42";4.15
"2020-05-27 19:42:43";4.71
"2020-05-27 19:42:43";4.83
"2020-05-27 19:42:44";4.48
"2020-05-27 19:42:45";4.36
"2020-05-27 19:42:45";3.98
"2020-05-27 19:42:46";4.88
"2020-05-27 19:42:47";4.73
"2020-05-27 19:42:48";4.38
"2020-05-27 19:42:48";4.12
"2020-05-27 19:42:49";4.42
"2020-05-27 19:42:50";3.97
"2020-05-27 19:42:50";4.99
"2020-05-27 19:42:51";4.6
"2020-05-27 19:42:52";4.39
"2020-05-27 19:42:52";5.09
"2020-05-27 19:42:53";3.98
"2020-05-27 19:42:54";3.79
"2020-05-27 19:42:55";4.98
"2020-05-27 19:42:55";4.18
"2020-05-27 19:42:56";5.21
"2020-05-27 19:42:57";4.45
"2020-05-27 19:42:57";4.23
"2020-05-27 19:42:58";3.88
"2020-05-27 19:42:59";5.45
"2020-05-27 19:42:59";5.06
"2020-05-27 19:43:00";4.7
"2020-05-27 19:43:01";5.2
"2020-05-27 19:43:02";3.67
"2020-05-27 19:43:02";4.62
"2020-05-27 19:43:03";4.85
"2020-05-27 19:43:04";4.51
"2020-05-27 19:43:04";4.48
"2020-05-27 19:43:05";4.7
"2020-05-27 19:43:06";4.76
"2020-05-27 19:43:06";3.57
"2020-05-27 19:43:07";3.68
"2020-05-27 19:43:08";5.04
"2020-05-27 19:43:09";5.18
"2020-05-27 19:43:09";4.15
"2020-05-27 19:43:10";4.01
"2020-05-27 19:43:11";3.87
"2020-05-27 19:43:11";3.83
"2020-05-27 19:43:12";4.96
"2020-05-27 19:43:13";4.75
"2020-05-27 19:43:14";3.91
"2020-05-27 19:43:14";3.52
"2020-05-27 19:43:15";5.49
"2020-05-27 19:43:16";3.96
"2020-05-27 19:43:16";3.93
"2020-05-27 19:43:17";4.86
"2020-05-27 19:43:18";3.73
"2020-05-27 19:43:18";4.41
"2020-05-27 19:43:19";5.36
"2020-05-27 19:43:20";4.02
"2020-05-27 19:43:21";4.58
"2020-05-27 19:43:21";4.24
"2020-05-27 19:43:22";4.78
"2020-05-27 19:43:23";4.87
"2020-05-27 19:43:23";3.82
"2020-05-27 19:43:24";4.31
"2020-05-27 19:43:25";4.47
"2020-05-27 19:43:25";4.25
"2020-05-27 19:43:26";5.38
"2020-05-27 19:43:27";4.05
"2020-05-27 19:43:28";5.17
"2020-05-27 19:43:28";5.29
"2020-05-27 19:43:29";5.29
"2020-05-27 19:43:30";5.14
"2020-05-27 19:43:30";3.87
"2020-05-27 19:43:31";4.64
"2020-05-27 19:43:32";3.85
"2020-05-27 19:43:32";5.44
"2020-05-27 19:43:33";5.35
"2020-05-27 19:43:34";4.06
"2020-05-27 19:43:35";4.67
"2020-05-27 19:43:35";4